
# Efinity Pinout Report
# Version: 2018.4.285
# Date: 2019-05-06 16:29

# Copyright (C) 2017 - 2018 Efinix Inc. All rights reserved.

# Device: T8F81
# Package status: final
# Project: counter
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
F6,GPIOR_24,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
F5,GPIOR_25,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G9,GPIOR_26_CBSEL0,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H9,GPIOR_27,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J9,GPIOR_28,BTN[0],Input,2B,3.3 V LVTTL / LVCMOS,weak pullup,User IO
J8,GPIOR_30,BTN[1],Input,2B,3.3 V LVTTL / LVCMOS,weak pullup,User IO
G8,GPIOR_31,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
H8,GPIOR_32,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J7,GPIOR_34_CSI,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
G6,GPIOR_35_CSO,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
H6,GPIOR_36,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J6,GPIOR_37_TEST_N,,Input,2B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
C4,TCK,,Input,1B,3.3 V LVTTL / LVCMOS,,Configuration
A3,TDI,,Input,1B,3.3 V LVTTL / LVCMOS,,Configuration
A4,TDO,,Output,1B,3.3 V LVTTL / LVCMOS,,Configuration
B4,TMS,,Input,1B,3.3 V LVTTL / LVCMOS,,Configuration
C1,VCC,,Power,,,,1.1 V VCC Power
D4,VCC,,Power,,,,1.1 V VCC Power
E5,VCC,,Power,,,,1.1 V VCC Power
F2,VCC,,Power,,,,1.1 V VCC Power
F9,VCC,,Power,,,,1.1 V VCC Power
A1,VCCA_PLL,,Power,1C,,,1.1 V PLL Power
J1,VCCIO1A,,Power,1A,3.3 V LVTTL / LVCMOS,,VCCIO Power
B2,VCCIO1B,,Power,1B,3.3 V LVTTL / LVCMOS,,VCCIO Power
A7,VCCIO2A,,Power,2A,3.3 V LVTTL / LVCMOS,,VCCIO Power
H7,VCCIO2B,,Power,2B,3.3 V LVTTL / LVCMOS,,VCCIO Power
